Timestamp,Temperature[degC],Humidity[percent],PM1.0[ug/m^3],PM2.5[ug/m^3],PM10.0[ug/m^3],O3[ppb],O3[V],NO2[ppb],NO2[V],Pressure[Pa],Latitude[deg],Longitude[deg],Altitude[m]
06/19/2020 00:00:35,25.11,37.89,7.8,10.5,11.0,50.64,1.426947,48.48,1.417839,99697.0,---,---,---
06/19/2020 00:01:35,25.10,38.09,7.8,10.4,10.9,50.36,1.426952,52.50,1.417807,99692.8,---,---,---
06/19/2020 00:02:35,25.10,37.89,7.6,10.0,10.5,50.86,1.426941,52.41,1.417807,99691.2,---,---,---
06/19/2020 00:03:35,25.08,37.86,7.4,9.9,10.4,51.13,1.426933,53.99,1.417793,99687.7,---,---,---
06/19/2020 00:04:35,25.08,38.09,7.4,9.7,10.1,49.38,1.426971,57.74,1.417764,99692.8,---,---,---
06/19/2020 00:05:35,25.09,38.26,7.4,9.6,10.0,49.52,1.426969,59.03,1.417755,99686.1,---,---,---
06/19/2020 00:06:35,25.11,38.09,7.2,9.4,9.8,50.39,1.426952,55.52,1.417784,99689.7,---,---,---
06/19/2020 00:07:36,25.10,38.69,7.3,9.3,9.7,50.47,1.426949,54.22,1.417793,99689.0,---,---,---
06/19/2020 00:08:35,25.08,38.63,7.3,9.3,9.8,50.93,1.426938,55.87,1.417779,99685.0,---,---,---
06/19/2020 00:09:35,25.08,38.66,7.2,9.1,9.7,53.41,1.426884,52.27,1.417807,99689.3,---,---,---
06/19/2020 00:10:35,25.07,38.66,7.3,9.2,9.8,54.55,1.426858,47.04,1.417847,99691.1,---,---,---
06/19/2020 00:11:35,25.08,39.03,7.2,9.2,9.8,53.91,1.426873,46.79,1.417849,99693.6,---,---,---
06/19/2020 00:12:35,25.09,38.90,7.2,9.2,9.8,53.42,1.426884,49.73,1.417827,99696.6,---,---,---
06/19/2020 00:13:35,25.08,38.90,7.2,9.2,9.6,52.97,1.426893,51.37,1.417814,99695.4,---,---,---
06/19/2020 00:14:35,25.07,38.86,7.0,9.1,9.6,51.85,1.426917,53.42,1.417797,99691.8,---,---,---
06/19/2020 00:15:35,25.07,38.66,6.8,9.0,9.6,50.64,1.426943,56.38,1.417774,99690.1,---,---,---
06/19/2020 00:16:35,25.07,38.66,6.9,9.0,9.6,50.28,1.426951,56.98,1.417769,99687.3,---,---,---
06/19/2020 00:17:35,25.06,38.85,6.8,9.0,9.5,49.82,1.426960,55.69,1.417778,99689.4,---,---,---
06/19/2020 00:18:36,25.05,38.88,6.8,8.9,9.5,48.70,1.426983,54.09,1.417790,99686.4,---,---,---
06/19/2020 00:19:35,25.03,39.24,6.9,9.1,9.6,48.18,1.426993,55.90,1.417774,99688.9,---,---,---
06/19/2020 00:20:35,25.03,39.38,6.9,9.0,9.3,48.78,1.426980,52.48,1.417801,99684.4,---,---,---
06/19/2020 00:21:35,25.02,39.41,7.0,9.2,9.5,48.27,1.426990,51.61,1.417807,99680.4,---,---,---
06/19/2020 00:22:35,25.02,39.41,7.2,9.4,9.7,48.16,1.426992,52.96,1.417796,99679.4,---,---,---
06/19/2020 00:23:35,24.99,40.15,7.3,9.6,9.9,49.82,1.426954,53.39,1.417791,99681.4,---,---,---
06/19/2020 00:24:35,24.98,40.08,7.4,9.6,9.9,50.11,1.426947,48.89,1.417826,99676.7,---,---,---
06/19/2020 00:25:35,25.00,39.94,7.6,9.9,10.2,48.05,1.426994,52.32,1.417801,99681.4,---,---,---
