Time,Relative_Humidity
2020-05-06 16:00:00,27.602
2020-05-06 17:00:00,26.503
2020-05-06 18:00:00,27.662
2020-05-06 19:00:00,28.912
2020-05-06 20:00:00,26.898
2020-05-06 21:00:00,28.356
2020-05-06 22:00:00,29.114
2020-05-06 23:00:00,31.907
2020-05-07 00:00:00,33.219
2020-05-07 01:00:00,35.511
2020-05-07 02:00:00,36.058
2020-05-07 03:00:00,38.218
2020-05-07 04:00:00,36.573
2020-05-07 05:00:00,36.191
2020-05-07 06:00:00,33.523
2020-05-07 07:00:00,31.587
2020-05-07 08:00:00,35.401
2020-05-07 09:00:00,33.123
2020-05-07 10:00:00,28.249
2020-05-07 11:00:00,34.442
2020-05-07 12:00:00,38.779
2020-05-07 13:00:00,54.695
2020-05-07 14:00:00,73.748
2020-05-07 15:00:00,72.938
2020-05-07 16:00:00,57.961
2020-05-07 17:00:00,44.481
2020-05-07 18:00:00,42.484
2020-05-07 19:00:00,40.318
2020-05-07 20:00:00,42.591
2020-05-07 21:00:00,49.633
2020-05-07 22:00:00,54.504
2020-05-07 23:00:00,56.736
2020-05-08 00:00:00,59.408
2020-05-08 01:00:00,49.539
2020-05-08 02:00:00,51.046
2020-05-08 03:00:00,57.078
2020-05-08 04:00:00,61.889
2020-05-08 05:00:00,62.287
2020-05-08 06:00:00,57.518
2020-05-08 07:00:00,49.061
2020-05-08 08:00:00,40.096
2020-05-08 09:00:00,34.725
2020-05-08 10:00:00,32.870
2020-05-08 11:00:00,31.073
2020-05-08 12:00:00,31.808
2020-05-08 13:00:00,31.413
2020-05-08 14:00:00,30.078
2020-05-08 15:00:00,30.143
2020-05-08 16:00:00,30.041
2020-05-08 17:00:00,25.481
2020-05-08 18:00:00,26.930
2020-05-08 19:00:00,33.405
2020-05-08 20:00:00,39.233
2020-05-08 21:00:00,44.357
2020-05-08 22:00:00,49.243
2020-05-08 23:00:00,61.678
2020-05-09 00:00:00,69.924
2020-05-09 01:00:00,69.356
2020-05-09 02:00:00,67.046
2020-05-09 03:00:00,67.326
2020-05-09 04:00:00,70.729
2020-05-09 05:00:00,69.979
2020-05-09 06:00:00,67.485
2020-05-09 07:00:00,63.768
2020-05-09 08:00:00,63.214
2020-05-09 09:00:00,62.410
2020-05-09 10:00:00,55.177
2020-05-09 11:00:00,49.507
2020-05-09 12:00:00,64.722
2020-05-09 13:00:00,49.733
2020-05-09 14:00:00,46.356
2020-05-09 15:00:00,38.514
2020-05-09 16:00:00,39.684
2020-05-09 17:00:00,40.668
2020-05-09 18:00:00,40.838
2020-05-09 19:00:00,41.689
2020-05-09 20:00:00,44.080
2020-05-09 21:00:00,45.541
2020-05-09 22:00:00,48.381
2020-05-09 23:00:00,54.458
2020-05-10 00:00:00,56.991
2020-05-10 01:00:00,57.246
2020-05-10 02:00:00,53.943
2020-05-10 03:00:00,53.297
2020-05-10 04:00:00,54.375
2020-05-10 05:00:00,57.388
2020-05-10 06:00:00,58.720
2020-05-10 07:00:00,54.218
2020-05-10 08:00:00,51.346
2020-05-10 09:00:00,47.954
2020-05-10 10:00:00,48.294
2020-05-10 11:00:00,62.986
2020-05-10 12:00:00,62.769
2020-05-10 13:00:00,70.702
2020-05-10 14:00:00,71.812
2020-05-10 15:00:00,66.854
2020-05-10 16:00:00,61.145
2020-05-10 17:00:00,63.252
2020-05-10 18:00:00,68.921
2020-05-10 19:00:00,70.426
2020-05-10 20:00:00,71.906
2020-05-10 21:00:00,73.618
2020-05-10 22:00:00,73.569
2020-05-10 23:00:00,73.449
2020-05-11 00:00:00,71.057
2020-05-11 01:00:00,63.563
2020-05-11 02:00:00,68.212
2020-05-11 03:00:00,75.361
2020-05-11 04:00:00,80.135
2020-05-11 05:00:00,83.546
2020-05-11 06:00:00,84.534
2020-05-11 07:00:00,83.782
2020-05-11 08:00:00,83.729
2020-05-11 09:00:00,81.719
2020-05-11 10:00:00,79.388
2020-05-11 11:00:00,77.132
2020-05-11 12:00:00,75.397
2020-05-11 13:00:00,65.097
2020-05-11 14:00:00,54.936
2020-05-11 15:00:00,49.981
2020-05-11 16:00:00,48.230
2020-05-11 17:00:00,47.161
2020-05-11 18:00:00,49.926
2020-05-11 19:00:00,52.276
2020-05-11 20:00:00,55.417
2020-05-11 21:00:00,58.001
2020-05-11 22:00:00,61.005
2020-05-11 23:00:00,61.984
2020-05-12 00:00:00,59.429
2020-05-12 01:00:00,59.991
2020-05-12 02:00:00,60.727
2020-05-12 03:00:00,63.431
2020-05-12 04:00:00,66.138
2020-05-12 05:00:00,66.029
2020-05-12 06:00:00,62.835
2020-05-12 07:00:00,60.539
2020-05-12 08:00:00,54.457
2020-05-12 09:00:00,41.369
2020-05-12 10:00:00,31.617
2020-05-12 11:00:00,29.994
2020-05-12 12:00:00,27.870
2020-05-12 13:00:00,32.544
2020-05-12 14:00:00,43.994
2020-05-12 15:00:00,44.056
2020-05-12 16:00:00,42.290
2020-05-12 17:00:00,38.926
2020-05-12 18:00:00,38.691
2020-05-12 19:00:00,41.031
2020-05-12 20:00:00,44.952
2020-05-12 21:00:00,46.777
2020-05-12 22:00:00,47.186
2020-05-12 23:00:00,46.611
2020-05-13 00:00:00,50.331
2020-05-13 01:00:00,55.733
2020-05-13 02:00:00,58.894
2020-05-13 03:00:00,63.634
2020-05-13 04:00:00,64.858
2020-05-13 05:00:00,64.675
2020-05-13 06:00:00,60.914
2020-05-13 07:00:00,50.602
2020-05-13 08:00:00,39.015
2020-05-13 09:00:00,32.354
2020-05-13 10:00:00,28.077
2020-05-13 11:00:00,25.553
2020-05-13 12:00:00,25.236
2020-05-13 13:00:00,28.565
2020-05-13 14:00:00,27.743
2020-05-13 15:00:00,25.959
2020-05-13 16:00:00,25.607
2020-05-13 17:00:00,25.709
2020-05-13 18:00:00,26.094
2020-05-13 19:00:00,27.288
2020-05-13 20:00:00,28.236
2020-05-13 21:00:00,31.681
2020-05-13 22:00:00,39.112
2020-05-13 23:00:00,42.110
2020-05-14 00:00:00,44.474
2020-05-14 01:00:00,45.640
2020-05-14 02:00:00,48.854
2020-05-14 03:00:00,47.790
2020-05-14 04:00:00,48.939
2020-05-14 05:00:00,54.069
2020-05-14 06:00:00,56.374
2020-05-14 07:00:00,54.323
2020-05-14 08:00:00,51.058
2020-05-14 09:00:00,39.816
2020-05-14 10:00:00,43.191
2020-05-14 11:00:00,49.513
