,Temperature[degC],Humidity[percent],PM1.0[ug/m^3],PM2.5[ug/m^3],PM10.0[ug/m^3],O3[ppb],O3[V],NO2[ppb],NO2[V],Pressure[Pa],NO,NO2,NOx,O3,PM10_conc,PM10-2.5_conc,PM2.5_conc,Air_Temperature,Relative_Humidity
2020-05-06 16:00,20.9365,19.84583333,1.188333333,2.235,2.576666667,50.08866667,1.42663815,159.7355,1.4166929,99177.97833,1.49,3.941,5.639,40.473,15.705,11.404,4.303,12.375,27.602
2020-05-06 17:00,20.8385,19.49733333,1.536666667,2.705,3.088333333,49.24866667,1.426649517,146.2793333,1.416790383,99149.185,1.91,5.132,6.875,40.592,19.672,15.035,4.628,12.848,26.503
2020-05-06 18:00,18.088,21.5235,1.903333333,3.203333333,3.665,51.494,1.426414633,126.3733333,1.416782183,99160.285,2.493,7.458,9.555,39.162,21.342,16.181,5.17,12.15,27.662
2020-05-06 19:00,15.24683333,25.02016667,2.448333333,3.898333333,4.298333333,53.309,1.42618025,115.8486667,1.416692817,99190.69333,1.458,10.777,12.126,35.057,16.456,11.442,5.01,11.4,28.912
2020-05-06 20:00,13.79333333,23.878,0.66,1.293333333,1.51,50.61766667,1.426135967,97.193,1.416746383,99246.60833,0.397,3.695,4.078,38.341,13.062,9.67,3.4,10.556,26.898
2020-05-06 21:00,12.24616667,25.40583333,0.61,1.193333333,1.373333333,50.466,1.426051683,90.19966667,1.416732933,99278.85167,0.318,4.479,4.797,36.087,10.369,7.124,3.245,9.064,28.356
2020-05-06 22:00,11.157,26.69783333,0.72,1.355,1.538333333,51.27666667,1.425986083,91.225,1.41669595,99275.56167,0.357,4.094,4.451,35.947,8.113,4.888,3.227,8.395,29.114
2020-05-06 23:00,10.42233333,29.5245,1.066666667,1.875,2.101666667,52.15233333,1.425935,89.32366667,1.41669055,99240.16833,0.589,4.937,5.661,33.951,8.608,5.214,3.394,7.743,31.907
2020-05-07 0:00,9.759833333,31.28083333,1.468333333,2.383333333,2.721666667,52.568,1.42589675,89.23266667,1.416673517,99201.95667,0.532,6.606,7.138,31.796,9.184,5.565,3.622,7.417,33.219
2020-05-07 1:00,9.346833333,32.0475,9.36,10.86,11.45833333,52.17266667,1.425886517,85.92966667,1.41668715,99149.105,0.113,8.106,8.218,29.349,9.143,5.378,3.766,6.536,35.511
2020-05-07 2:00,8.846,32.78316667,19.19,22.73666667,24.49,52.479,1.42585785,85.31816667,1.416678217,99097.61333,0.475,7.98,8.455,29.023,7.66,3.978,3.681,6.09,36.058
2020-05-07 3:00,8.021666667,34.85933333,17.63833333,22.24,22.81,52.983,1.425810567,87.52983333,1.41663955,99067.15833,0.535,13.045,13.58,22.883,7.956,4.215,3.737,5.316,38.218
2020-05-07 4:00,7.939333333,32.907,17.24333333,21.79333333,22.255,52.88983333,1.42580885,86.4995,1.4166451,99048.58333,0.282,10.361,10.642,27.075,7.717,4.217,3.495,5.246,36.573
2020-05-07 5:00,7.87,32.8065,15.80833333,20.485,20.99666667,54.37633333,1.4257749,85.3355,1.416651933,99017.945,1.281,11.635,13.53,25.819,9.659,6.333,3.324,5.026,36.191
2020-05-07 6:00,8.825666667,30.797,11.82333333,15.43166667,16.095,53.6065,1.425833467,92.89466667,1.416620983,99009.885,1.165,12.28,13.445,26.966,11.403,7.853,3.55,6.079,33.523
2020-05-07 7:00,13.8725,25.72066667,1.086666667,1.911666667,2.226666667,49.919,1.4261633,79.62083333,1.4168937,98995.01833,2.062,9.643,11.705,29.966,18.576,14.402,4.165,8.702,31.587
2020-05-07 8:00,14.4155,28.17033333,1.093333333,2.118333333,2.441666667,50.53033333,1.426181017,75.29483333,1.416949333,98975.53167,1.49,5.84,7.33,33.958,19.255,15.051,4.208,9.368,35.401
2020-05-07 9:00,16.04916667,26.93733333,1.248333333,2.256666667,2.57,51.1455,1.426281517,88.49533333,1.416947967,98915.84667,1.416,4.326,5.742,38.204,14.827,10.794,4.025,10.972,33.123
2020-05-07 10:00,21.26516667,20.28866667,0.918333333,1.766666667,1.931666667,47.29733333,1.4267201,79.1795,1.41733085,98833.03,1.113,2.822,3.973,41.941,11.604,7.903,3.704,13.108,28.249
2020-05-07 11:00,18.8865,24.34783333,1.183333333,2.185,2.455,49.709,1.426507467,92.3145,1.417089467,98833.52167,0.884,2.95,3.834,39.542,12.951,9.102,3.848,11.947,34.442
