,E Series Sensor Data,Linear Regression Prediction,Reference pm Measurement
0,0.679597701,0.862213744,1
1,0.501925287,0.75419198,0
2,0.559390805,0.790300234,0
3,0.564632184,0.797142596,0
4,0.607770115,0.824043509,0
5,0.556051724,0.796224039,0
6,0.555091954,0.798106673,1
7,0.39416092,0.701873431,0
8,0.350097701,0.714679232,0
9,0.431011494,0.729105042,1
10,0.540229885,0.829943168,2
11,0.624517241,0.858588248,2
12,0.784471264,0.9783335,2
13,0.750488506,0.955500194,2
14,0.546931034,0.831966595,0
15,1.008643678,1.100062759,1
16,0.742816092,0.968799802,2
17,2.270545977,1.849330743,2
18,2.96883908,2.288139167,6
19,2.670994253,2.120773274,7
20,11.87172414,7.730658045,14
21,29.77103448,18.62495262,22
22,24.71639655,15.53051854,19
23,3.23808046,2.514665087,3
24,1.259126437,1.32186741,2
25,0.632189655,0.965704024,2
26,0.120689655,0.616692586,2
27,0.214551724,0.667879425,1
28,0.36733908,0.829071305,0
29,0.444454023,0.828758606,0
30,0.628344828,0.978336336,0
31,0.54408046,0.931412846,0
32,0.705954023,0.996398558,0
33,1.946844828,1.763406521,2
34,3.636994253,2.823155076,3
35,3.55619774,2.742806856,4
36,1.401124294,1.464475807,2
37,0.912850575,1.149195859,2
38,1.200643678,1.326023838,2
39,1.537333333,1.498284444,4
40,2.371189655,2.009504214,4
41,3.158402299,2.484125274,4
42,1.465982759,1.468996734,3
43,1.626931034,1.561304995,4
44,1.405678161,1.42524269,2
45,1.000488506,1.144490939,0
46,0.993298851,1.133036814,3
47,0.885953216,1.060183142,2
48,0.703097701,0.943122995,0
49,0.595304598,0.89569203,1
50,0.539764368,0.850810419,1
51,0.336224138,0.68361213,0
52,0.354885057,0.76892301,0
53,0.397517241,0.741011579,0
54,0.392229885,0.77000379,0
55,0.38362069,0.75603732,0
56,0.457844828,0.79217102,0
57,0.564183908,0.850812322,0
58,0.532574713,0.82763875,0
59,0.558425287,0.814988177,0
60,0.380752874,0.688544583,1
61,0.415706897,0.638976549,1
62,0.302666667,0.567752317,2
63,0.538310345,0.800094795,1
64,0.566568966,0.801877915,1
65,1.896114943,1.595687979,3
66,2.210695402,1.789066485,2
67,3.424252874,2.516547426,0
68,10.99396552,7.110743888,5
69,10.69,6.946862116,5
70,11.98804598,7.745386785,8
71,5.747701149,3.94961358,6
72,12.18890805,7.864545904,7
73,5.63862069,3.867378013,6
74,6.615344828,4.472097042,4
75,6.491321839,4.38349042,6
76,10.57793103,6.869355188,5
77,7.952988506,5.254507402,5
78,10.4391954,6.767068621,11
79,13.08862069,8.338551697,9
80,7.059885057,4.674372744,5
81,8.273678161,5.433437537,3
82,4.317126437,3.032086159,3
83,5.852568966,3.993097673,7
84,1.714057471,1.459258061,6
85,1.886931034,1.531723195,3
86,1.4545,1.288560524,4
87,1.393683908,1.247152381,3
88,1.177971751,1.149358525,1
89,5.573587571,3.79948425,9
90,10.21948276,6.638392357,8
91,10.13842105,6.604155156,9
92,14.34446552,9.133599612,7
93,17.1337931,10.84964663,13
94,66.07068966,40.58232743,23
95,17.50045977,11.07465342,10
96,10.39143678,6.774980084,6
97,8.944425287,5.888213542,6
98,10.82471264,7.045610315,7
99,23.35252874,14.63918159,11
100,16.09045977,10.24997911,10
101,10.17011494,6.650502673,8
102,9.170574713,6.050032429,8
103,10.69482759,6.972039137,6
104,12.21114943,7.913290125,9
105,12.74626437,8.225197529,9
106,14.37350575,9.218603018,10
107,15.21850575,9.748366537,14
108,17.58850575,11.16413907,15
109,8.559252874,5.700187822,6
110,6.973045977,4.742032249,6
111,8.77316092,5.816170743,8
112,6.565689655,4.472984515,11
113,3.639522989,2.676368898,6
114,3.770408046,2.780034872,3
115,7.688603448,5.167284558,5
116,3.267206897,2.452857201,3
