Date,E-Series PM25_ugm3,E-Series ambient_Temp_C,E-Series rh_pct,E-Series Pressure_mbar,E-Series WindSpeed_ms,E-Series WindDirection_Deg,FEM ambient_Temp_C,FEM rh_pct,FEM Pressure_mbar,FEM BAM WindSpeed_ms,airport_temp_c,airport_rh_pct,airport_wind_dir_10degs,airport_wind_spd_kmh,airport_vis_km,airport_press_kpa,Reference Method PM25_ugm3
1:00:00 AM,0.679597701,-1.928275862,34.40068966,922,2.555983333,151.0752124,1.2,68.3,919.3912704,3.027777778,-0.1,75,17,21,24.1,91.29,1
2:00:00 AM,0.501925287,-2.192,34.325,922,2.682016667,150.5309193,0.9,69.1,919.6579152,3.25,-0.7,78,17,19,24.1,91.31,0
3:00:00 AM,0.559390805,-1.828172414,34.60172414,922,3.127466667,154.0951911,1.4,67.7,919.7912376,4.111111111,0,76,17,26,24.1,91.33,0
4:00:00 AM,0.564632184,-1.751327586,34.66827586,922.3448276,3.41105,153.5058686,1.3,68.2,920.0578824,3.972222222,-0.3,79,17,26,24.1,91.35,0
5:00:00 AM,0.607770115,-2.136534483,34.61206897,922.3965517,2.676266667,152.5009673,0.9,70.8,920.1912048,3.25,-0.2,79,17,24,24.1,91.36,0
6:00:00 AM,0.556051724,-2.090362069,34.53034483,922.862069,3.140966667,147.7969177,1,71.7,920.1912048,3.833333333,-0.4,80,17,25,24.1,91.37,0
7:00:00 AM,0.555091954,-2.203,34.65086207,923,1.7727,138.6996584,1,72.2,920.591172,2.277777778,-0.2,80,17,24,24.1,91.41,1
8:00:00 AM,0.39416092,-2.064206897,34.90241379,923,2.8369,148.2064831,1,72.6,920.591172,3.25,-0.1,80,17,28,24.1,91.41,0
9:00:00 AM,0.350097701,-1.888655172,34.79758621,923.0517241,3.153766667,147.376343,1.1,73,920.9911392,3.638888889,0.6,78,16,30,48.3,91.46,0
10:00:00 AM,0.431011494,-1.645086207,34.4237931,923.9482759,3.4244,149.4671867,1.2,72.7,921.3911064,4.083333333,-0.4,82,17,24,48.3,91.52,1
11:00:00 AM,0.540229885,-1.416396552,34.56310345,924.2413793,2.82765,150.1419816,1.3,72.9,922.0577184,3.333333333,0.7,78,16,23,48.3,91.57,2
12:00:00 PM,0.624517241,-1.045155172,34.78896552,925,2.87405,149.9311608,1.6,72.2,922.591008,3.361111111,0.7,78,17,24,64.4,91.62,2
1:00:00 PM,0.784471264,-0.541775862,34.62051724,925,2.321633333,149.4843973,2,71.7,922.9909752,2.694444444,1.2,77,16,18,64.4,91.64,2
2:00:00 PM,0.750488506,0.513862069,34.21103448,925.3965517,1.611516667,164.048322,2.5,70.1,923.25762,1.888888889,1.7,76,16,17,56.3,91.66,2
3:00:00 PM,0.546931034,1.581172414,34.11310345,925.9137931,1.957816667,144.858497,2.8,68.8,923.25762,2.277777778,1.6,76,16,15,64.4,91.67,0
4:00:00 PM,1.008643678,-0.031327586,34.73396552,926,1.914316667,165.0149166,2.4,70.5,923.5242648,2.333333333,1,79,17,16,64.4,91.71,1
5:00:00 PM,0.742816092,-0.817706897,34.72137931,926,1.788516667,171.0549468,2.1,72.2,923.924232,2.194444444,0.4,81,19,14,64.4,91.74,2
6:00:00 PM,2.270545977,-2.12012069,34.66672414,926.637931,1.52625,211.5013693,1,75.9,924.3241992,2.111111111,-0.3,84,20,12,24.1,91.78,2
7:00:00 PM,2.96883908,-3.346534483,34.71258621,927,1.092016667,210.9573314,0.4,77.8,924.590844,1.583333333,-1.3,87,18,15,24.1,91.82,6
8:00:00 PM,2.670994253,-5.054258621,34.58758621,927.637931,0.32145,228.2895255,-0.6,80.5,925.1241336,0.888888889,-1.5,88,20,5,24.1,91.86,7
9:00:00 PM,11.87172414,-6.303137931,34.84051724,928.1034483,0.108516667,213.7764885,-1.7,83.6,925.6574232,0.666666667,-2,92,36,1,24.1,91.94,14
10:00:00 PM,29.77103448,-6.566258621,35.24413793,929.0344828,0.154416667,230.5139021,-2.5,85.5,926.59068,0.611111111,-3.3,90,26,6,24.1,92.04,22
11:00:00 PM,24.71639655,-4.567206897,34.91655172,929.9827586,0.371616667,342.0599229,-1.5,82.6,927.5239368,0.972222222,-1.6,85,35,9,24.1,92.12,19
