Timestamp,Temperature[degC],Humidity[percent],PM1.0[ug/m^3],PM2.5[ug/m^3],PM10.0[ug/m^3],O3[ppb],NO2[ppb],Pressure[Pa],Airpointer_NO2[ppb],Airpointer_O3[ppb],Airpointer_Temperature[degC],Airpointer_NO[ppb],Airpointer_NOx[ppb],Airpointer_PM10[ppb],Airpointer_PM2.5[ppb],Airpointer_PM10-2.5[ppb],Airpointer_Humidity[percent]
2020-05-06 17:00,21.38283333,19.0295,1.515,2.552777778,2.872777778,53.78983333,113.9330556,99135.52,7.393666667,39.20183333,12.17,2.494166667,12.17,21.42216667,5.165666667,16.2565,27.64616667
2020-05-06 18:00,18.27377778,21.35833333,1.979444444,3.171666667,3.569444444,54.51772222,96.40255556,99147.82556,10.76383333,35.10733333,11.409,1.459166667,11.409,16.479,5.013333333,11.466,28.91233333
2020-05-06 19:00,15.24233333,25.0405,2.317777778,3.645555556,4.013888889,55.43972222,93.14616667,99178.02,3.808166667,38.28433333,10.57766667,0.4095,10.57766667,13.1035,3.426166667,9.6785,26.92033333
2020-05-06 20:00,13.82788889,23.87005556,1.266111111,1.899444444,2.078888889,52.1895,77.63611111,99234.99556,4.448666667,36.1225,9.082,0.3155,9.082,10.40933333,3.244,7.162833333,28.32683333
2020-05-06 21:00,12.29561111,25.37116667,0.655,1.201111111,1.361666667,52.02494444,72.36238889,99265.70778,4.096666667,35.9675,8.406333333,0.357166667,8.406333333,8.168333333,3.225166667,4.943,29.08616667
2020-05-06 22:00,11.23566667,26.59261111,0.68,1.261111111,1.435555556,53.05994444,74.22055556,99261.88667,4.881833333,34.02083333,7.75,0.585833333,7.75,8.581666667,3.386166667,5.195333333,31.85333333
2020-05-06 23:00,10.50716667,29.40733333,0.992222222,1.72,1.935555556,52.97811111,74.37122222,99228.00444,6.595,31.80733333,7.428166667,0.523666667,7.428166667,9.161833333,3.6205,5.540166667,33.21233333
2020-05-07 1:00,9.407342441,31.94571038,6.78863388,8.023060109,8.478779599,52.70079417,71.60229144,99135.79295,7.903833333,29.11583333,6.104166667,0.4655,6.104166667,7.665666667,3.678,3.988333333,36.01733333
2020-05-07 2:00,8.902055556,32.697,13.14666667,15.71111111,16.94055556,52.95727778,72.21238889,99083.64833,12.97716667,22.95316667,5.324166667,0.538666667,5.324166667,7.962666667,3.736166667,4.225833333,38.22233333
2020-05-07 3:00,8.055388889,34.79077778,12.09833333,15.39388889,15.83,52.636,74.15633333,99054.81556,10.5505,26.84283333,5.248666667,0.287833333,5.248666667,7.740833333,3.510166667,4.229,36.61516667
2020-05-07 4:00,7.937555556,32.89261111,11.77666667,15.02166667,15.38777778,52.1235,72.50566667,99036.58556,11.4695,25.98533333,5.025166667,1.264833333,5.025166667,9.574666667,3.312666667,6.261833333,36.19
2020-05-07 5:00,7.888944444,32.77155556,10.75722222,14.05111111,14.44444444,54.4545,72.70794444,99005.37333,12.3785,26.83683333,6.04,1.158,6.04,11.39733333,3.550666667,7.845833333,33.58016667
2020-05-07 6:00,8.774333333,30.88266667,8.215555556,10.80777778,11.31611111,54.267,79.73544444,98998.53778,9.6795,29.93883333,8.681166667,2.065833333,8.681166667,18.27083333,4.1465,14.12266667,31.54033333
2020-05-07 7:00,13.63516949,26.10038795,1.566817326,2.390263653,2.675969868,52.01470056,68.25388889,98983.47493,5.876666667,33.87616667,9.349333333,1.494,9.349333333,19.41,4.212666667,15.1995,35.41483333
2020-05-07 8:00,14.34694444,28.31377778,1.417777778,2.350555556,2.637777778,53.05216667,62.8465,98963.76722,4.332833333,38.1905,10.91416667,1.413666667,10.91416667,14.94466667,4.0305,10.91216667,33.177
2020-05-07 9:00,15.97394444,27.06033333,1.247222222,2.161666667,2.427222222,54.233,73.81866667,98904.36222,2.836166667,41.92083333,13.118,1.121166667,13.118,11.51883333,3.707166667,7.8105,28.26233333
2020-05-07 10:00,21.18994444,20.44227778,0.978888889,1.751111111,1.892222222,53.79744444,62.79916667,98821.81333,2.9385,39.56116667,11.958,0.871,11.958,13.00566667,3.8425,9.1605,34.31733333
2020-05-07 11:00,18.96938889,24.30933333,1.577222222,2.488888889,2.716666667,54.88566667,72.55994444,98822.63,3.9425,38.5925,12.18016667,1.800833333,12.18016667,14.92716667,4.186,10.741,38.67683333
2020-05-07 12:00,18.73572222,27.79527778,1.701666667,2.637222222,2.872222222,54.92444444,75.96194444,98762.88778,3.373,37.66016667,9.493,0.9465,9.493,19.2445,4.6445,14.60116667,54.20883333
2020-05-07 13:00,16.62522222,36.40644444,2.040555556,3.212777778,3.44,54.92294444,62.37794444,98787.32667,3.345833333,35.21733333,5.632333333,0.955333333,5.632333333,9.472333333,4.471833333,4.999833333,73.71533333
2020-05-07 14:00,11.77905556,52.51866667,4.987222222,6.724444444,7.047222222,49.40127778,64.06055556,98841.58778,3.189666667,36.21933333,6.241833333,1.267,6.241833333,7.731166667,3.851333333,3.879666667,73.078
2020-05-07 15:00,10.614,57.31816667,2.376111111,3.560555556,3.769444444,46.97511111,78.34838889,98857.17,2.492166667,36.965,8.801666667,1.242166667,8.801666667,7.2565,3.657,3.599,58.2165
2020-05-07 16:00,14.46538889,41.94677778,2.400555556,3.49,3.716666667,43.37711111,65.73922222,98819.39944,1.737166667,36.9375,9.588666667,0.772833333,9.588666667,7.778666667,3.619,4.157833333,44.6065
2020-05-07 17:00,15.71977778,32.61622222,1.562222222,2.463333333,2.631666667,46.24066667,54.07888889,98843.69611,1.792333333,36.49666667,9.1945,0.564833333,9.1945,8.55,3.768833333,4.780666667,42.54066667
2020-05-07 18:00,13.81777778,33.32688889,3.157777778,4.311666667,4.528333333,52.06283333,43.54877778,98882.50056,2.0955,36.69183333,8.088666667,0.412,8.088666667,7.424833333,3.650166667,3.7745,40.30966667
2020-05-07 19:00,11.62644444,34.28255556,8.998888889,11.36611111,11.81833333,52.26905556,58.179,98916.86222,2.344,34.9135,6.102833333,0.327,6.102833333,6.444,3.460166667,2.9835,42.51233333
2020-05-07 20:00,10.08055556,34.92888889,5.256111111,6.795,7.121666667,51.98877778,57.26133333,99012.87222,4.138166667,30.44916667,4.640833333,0.262,4.640833333,7.197,3.646833333,3.549,49.50116667
2020-05-07 21:00,8.291944444,40.32705556,8.251111111,10.64777778,11.38555556,51.25644444,65.89405556,99077.39556,5.7785,28.86616667,3.7285,0.542333333,3.7285,9.264,4.057833333,5.205833333,54.479
2020-05-07 22:00,7.176111111,44.33177778,10.74388889,12.60944444,13.685,51.00133333,69.72961111,99098.07,6.2895,28.68466667,3.2375,0.488,3.2375,8.5095,3.9645,4.546166667,56.67216667
2020-05-07 23:00,6.486888889,47.01322222,2.120555556,3.528888889,3.842777778,49.42166667,73.65894444,99142.57,10.50333333,22.81133333,2.527666667,0.783833333,2.527666667,8.467666667,4.280166667,4.1875,59.52916667
2020-05-08 1:00,5.324777778,41.82544444,1.100555556,1.909444444,2.151666667,49.40022222,73.52038889,99144.03833,2.65,32.28666667,0.917166667,0.240666667,0.917166667,4.521666667,2.234,2.287666667,50.9305
2020-05-08 2:00,4.806555556,41.18033333,0.38,0.96,1.127777778,50.53544444,69.48627778,99115.71667,3.670666667,30.2735,0.183333333,0.250333333,0.183333333,4.914333333,2.302166667,2.612166667,57.012
2020-05-08 3:00,4.041888889,45.78411111,0.802222222,1.406111111,1.551666667,50.53105556,70.03022222,99093.08278,5.5375,26.97216667,-0.154166667,0.678666667,-0.154166667,4.875833333,2.433666667,2.441833333,61.82
2020-05-08 4:00,3.455611111,49.32516667,7.568333333,9.317777778,10.30888889,49.98,72.42277778,99086.12444,3.902833333,29.08566667,-0.378,1.088,-0.378,4.5285,1.977833333,2.548333333,62.339
2020-05-08 5:00,3.116055556,49.99783333,5.911111111,7.840555556,8.413888889,50.15561111,75.21211111,99104.09611,3.758166667,28.698,0.225,1.128166667,0.225,6.328166667,2.137166667,4.190666667,57.67
2020-05-08 6:00,3.968444444,46.24294444,3.490555556,4.722777778,5.065,49.73161111,82.86511111,99088.43611,3.445666667,28.5625,0.700666667,2.163666667,0.700666667,4.3435,1.633833333,2.71,49.13466667
2020-05-08 7:00,5.829166667,37.59194444,0.255555556,0.593333333,0.698333333,48.39977778,72.73611111,99098.24167,2.223833333,28.85233333,1.396,1.2345,1.396,6.7175,1.542166667,5.174166667,40.246
2020-05-08 8:00,7.312833333,30.46088889,0.112222222,0.306111111,0.371666667,46.91938889,69.23594444,99126.585,2.299166667,28.44366667,3.148666667,1.666,3.148666667,6.379333333,1.340666667,5.036333333,34.78066667
2020-05-08 9:00,9.670888889,26.03644444,1.107777778,1.299444444,1.399444444,48.53527778,67.16883333,99133.61333,1.708166667,29.4165,4.540333333,1.250666667,4.540333333,6.033166667,1.372333333,4.659833333,32.93983333
2020-05-08 10:00,11.86827778,23.41438889,0.003333333,0.128888889,0.221666667,49.41605556,58.49455556,99073.82722,1.441,29.8655,6.005333333,1.370333333,6.005333333,7.782833333,1.613666667,6.168833333,31.03483333
2020-05-08 11:00,14.48961111,21.47383333,0.687777778,0.889444444,1.006111111,49.04011111,63.05127778,99021.16722,1.966666667,29.22666667,5.890333333,1.409833333,5.890333333,8.584,1.880833333,6.706,31.805
2020-05-08 12:00,14.27455556,21.24433333,0.432222222,0.653888889,0.743333333,49.17966667,60.15316667,99022.30333,1.961333333,29.25833333,5.449333333,1.9765,5.449333333,10.0395,1.765833333,8.273333333,31.4745
2020-05-08 13:00,12.81483333,22.18477778,8.526666667,9.923333333,10.67777778,49.25272222,65.67505556,99003.715,1.615666667,29.97466667,6.064333333,1.129833333,6.064333333,11.24483333,1.875,9.370166667,30.07483333
2020-05-08 14:00,13.25472222,21.40355556,2.178888889,2.505555556,2.672777778,48.61661111,66.24972222,98980.37,1.683333333,29.782,5.008333333,1.150166667,5.008333333,10.0895,2.181,7.909166667,30.14
2020-05-08 15:00,12.11388889,21.70033333,4.454444444,5.46,5.728333333,49.72705556,64.34505556,98989.16389,1.409333333,30.13866667,5.121166667,1.077,5.121166667,11.715,2.4225,9.296333333,30.06633333
2020-05-08 16:00,12.15872222,21.26033333,4.535555556,5.407222222,5.704444444,48.40044444,66.34622222,98974.07833,1.345333333,30.44983333,4.9025,1.016,4.9025,12.0045,2.4475,9.555,25.61433333
2020-05-08 17:00,12.39305556,17.57766667,0.606666667,1.035555556,1.203888889,48.11488889,59.6865,99012.86111,1.2535,30.63566667,3.352833333,0.763666667,3.352833333,7.954666667,1.838,6.117333333,26.7645
2020-05-08 18:00,8.865777778,20.67133333,5.537222222,6.676111111,7.174444444,51.33261111,57.75972222,99076.75222,1.273,30.92433333,0.911166667,0.537666667,0.911166667,6.571833333,1.990666667,4.5805,33.32366667
2020-05-08 19:00,5.744277778,26.12122222,0.477777778,0.779444444,0.895555556,51.12272222,67.3,99136.95056,1.790833333,29.83,-0.3925,0.537166667,-0.3925,5.337,1.898833333,3.438333333,39.11783333
2020-05-08 20:00,3.918833333,31.1745,3.127222222,3.831666667,4.123888889,50.83288889,68.09033333,99203.79556,1.933,27.19266667,-1.163833333,0.487166667,-1.163833333,5.163333333,1.434166667,3.731,44.29333333
2020-05-08 21:00,2.821166667,35.45194444,3.494444444,5.121111111,5.491111111,49.20288889,67.80372222,99281.15,2.530833333,24.91483333,-1.611666667,0.491666667,-1.611666667,2.926166667,1.352666667,1.570833333,49.17216667
2020-05-08 22:00,2.207888889,39.02961111,11.89722222,13.95,15.79722222,46.76611111,68.14655556,99334.00778,2.963,23.96683333,-2.137,0.6205,-2.137,6.922666667,1.6045,5.3175,61.2845
2020-05-08 23:00,1.912888889,47.58827778,6.272222222,7.048888889,8.043333333,46.69316667,69.81294444,99362.03,3.426333333,22.43233333,-3.0775,0.4375,-3.0775,5.9385,1.676333333,4.262,69.999
2020-05-09 1:00,0.6615,55.213,0.014444444,0.183888889,0.317777778,44.617,73.89394444,99376.42167,3.7505,21.4575,-2.854666667,0.3815,-2.854666667,2.5235,1.4025,1.121166667,67.0915
2020-05-09 2:00,0.918388889,53.37455556,0.01,0.228333333,0.372777778,45.23172222,72.74788889,99379.075,5.614666667,18.52966667,-3.4405,0.554833333,-3.4405,2.979166667,1.3955,1.583166667,67.25933333
2020-05-09 3:00,0.472555556,53.09416667,1.111111111,1.347222222,1.496666667,43.91822222,70.89561111,99356.18278,6.603833333,16.94183333,-3.771166667,0.671333333,-3.771166667,2.812166667,1.375666667,1.437,70.69933333
2020-05-09 4:00,0.049722222,55.71916667,4.178333333,4.908888889,5.272222222,44.94616667,72.83688889,99357.94889,8.081666667,15.11083333,-3.879166667,0.916833333,-3.879166667,4.222,1.498,2.726166667,69.99616667
2020-05-09 5:00,-0.140166667,55.82855556,4.253888889,5.043888889,5.528333333,45.11616667,74.89222222,99363.51278,10.618,13.757,-3.274,1.8815,-3.274,4.556166667,1.721333333,2.837166667,67.57166667
2020-05-09 6:00,0.893333333,53.75072222,2.478333333,3.203888889,3.505,45.62355556,86.26072222,99393.19944,8.828333333,15.9305,-1.759,3.396833333,-1.759,5.859333333,2.251333333,3.609166667,63.81833333
2020-05-09 7:00,4.331111111,45.90683333,1.037777778,1.601111111,1.8,45.367,83.91105556,99401.83833,6.649333333,18.62933333,-0.853666667,2.892333333,-0.853666667,7.186166667,2.517666667,4.667833333,63.25583333
