,dt_hour,PM25_ugm3_Mean
83114,2015-11-07 0:00,2
83115,2015-11-07 1:00,1
83116,2015-11-07 2:00,0
83117,2015-11-07 3:00,0
83118,2015-11-07 4:00,0
83119,2015-11-07 5:00,0
83120,2015-11-07 6:00,0
83121,2015-11-07 7:00,1
83122,2015-11-07 8:00,0
83123,2015-11-07 9:00,0
83124,2015-11-07 10:00,1
83125,2015-11-07 11:00,2
83126,2015-11-07 12:00,2
83127,2015-11-07 13:00,2
83128,2015-11-07 14:00,2
83129,2015-11-07 15:00,0
83130,2015-11-07 16:00,1
83131,2015-11-07 17:00,2
83132,2015-11-07 18:00,2
83133,2015-11-07 19:00,6
83134,2015-11-07 20:00,7
83135,2015-11-07 21:00,14
83136,2015-11-07 22:00,22
83137,2015-11-07 23:00,19
83138,2015-11-08 0:00,3
83139,2015-11-08 1:00,2
83140,2015-11-08 2:00,2
83141,2015-11-08 3:00,2
83142,2015-11-08 4:00,1
83143,2015-11-08 5:00,0
83144,2015-11-08 6:00,0
83145,2015-11-08 7:00,0
83146,2015-11-08 8:00,0
83147,2015-11-08 9:00,0
83148,2015-11-08 10:00,2
83149,2015-11-08 11:00,3
83150,2015-11-08 12:00,4
83151,2015-11-08 13:00,2
83152,2015-11-08 14:00,2
83153,2015-11-08 15:00,2
83154,2015-11-08 16:00,4
83155,2015-11-08 17:00,4
83156,2015-11-08 18:00,4
83157,2015-11-08 19:00,3
83158,2015-11-08 20:00,4
83159,2015-11-08 21:00,2
83160,2015-11-08 22:00,0
83161,2015-11-08 23:00,3
83162,2015-11-09 0:00,2
83163,2015-11-09 1:00,0
83164,2015-11-09 2:00,1
83165,2015-11-09 3:00,1
83166,2015-11-09 4:00,0
83167,2015-11-09 5:00,0
83168,2015-11-09 6:00,0
83169,2015-11-09 7:00,0
83170,2015-11-09 8:00,0
83171,2015-11-09 9:00,0
83172,2015-11-09 10:00,0
83173,2015-11-09 11:00,0
83174,2015-11-09 12:00,0
83175,2015-11-09 13:00,1
83176,2015-11-09 14:00,1
83177,2015-11-09 15:00,2
83178,2015-11-09 16:00,1
83179,2015-11-09 17:00,1
83180,2015-11-09 18:00,3
83181,2015-11-09 19:00,2
83182,2015-11-09 20:00,0
83183,2015-11-09 21:00,5
83184,2015-11-09 22:00,5
83185,2015-11-09 23:00,8
83186,2015-11-10 0:00,6
83187,2015-11-10 1:00,7
83188,2015-11-10 2:00,6
83189,2015-11-10 3:00,4
83190,2015-11-10 4:00,6
83191,2015-11-10 5:00,5
83192,2015-11-10 6:00,5
83193,2015-11-10 7:00,11
83194,2015-11-10 8:00,9
83195,2015-11-10 9:00,5
83196,2015-11-10 10:00,3
83197,2015-11-10 11:00,3
83198,2015-11-10 12:00,7
83199,2015-11-10 13:00,6
83200,2015-11-10 14:00,3
83201,2015-11-10 15:00,4
83202,2015-11-10 16:00,3
83203,2015-11-10 17:00,1
83204,2015-11-10 18:00,9
83205,2015-11-10 19:00,8
83206,2015-11-10 20:00,9
83207,2015-11-10 21:00,7
83208,2015-11-10 22:00,13
83209,2015-11-10 23:00,23
83210,2015-11-11 0:00,10
83211,2015-11-11 1:00,6
83212,2015-11-11 2:00,6
83213,2015-11-11 3:00,7
83214,2015-11-11 4:00,11
83215,2015-11-11 5:00,10
83216,2015-11-11 6:00,8
83217,2015-11-11 7:00,8
83218,2015-11-11 8:00,6
83219,2015-11-11 9:00,9
83220,2015-11-11 10:00,9
83221,2015-11-11 11:00,10
83222,2015-11-11 12:00,14
83223,2015-11-11 13:00,15
83224,2015-11-11 14:00,6
83225,2015-11-11 15:00,6
83226,2015-11-11 16:00,8
83227,2015-11-11 17:00,11
83228,2015-11-11 18:00,6
83229,2015-11-11 19:00,3
83230,2015-11-11 20:00,5
83231,2015-11-11 21:00,3
83232,2015-11-11 22:00,0
83233,2015-11-11 23:00,0
83234,2015-11-12 0:00,0
83235,2015-11-12 1:00,0
83236,2015-11-12 2:00,0
83237,2015-11-12 3:00,0
83238,2015-11-12 4:00,1
83239,2015-11-12 5:00,0
83240,2015-11-12 6:00,0
83241,2015-11-12 7:00,0
83242,2015-11-12 8:00,0
83243,2015-11-12 9:00,0
83244,2015-11-12 10:00,0
83245,2015-11-12 11:00,2
83246,2015-11-12 12:00,1
83247,2015-11-12 13:00,0
83248,2015-11-12 14:00,0
83249,2015-11-12 15:00,1
83250,2015-11-12 16:00,1
83251,2015-11-12 17:00,0
83252,2015-11-12 18:00,0
83253,2015-11-12 19:00,0
83254,2015-11-12 20:00,0
83255,2015-11-12 21:00,1
83256,2015-11-12 22:00,2
83257,2015-11-12 23:00,3
83258,2015-11-13 0:00,3
83259,2015-11-13 1:00,1
83260,2015-11-13 2:00,1
83261,2015-11-13 3:00,1
83262,2015-11-13 4:00,2
83263,2015-11-13 5:00,1
83264,2015-11-13 6:00,0
83265,2015-11-13 7:00,0
83266,2015-11-13 8:00,1
83267,2015-11-13 9:00,2
83268,2015-11-13 10:00,1
83269,2015-11-13 11:00,1
83270,2015-11-13 12:00,1
83271,2015-11-13 13:00,1
83272,2015-11-13 14:00,1
83273,2015-11-13 15:00,1
83274,2015-11-13 16:00,1
83275,2015-11-13 17:00,2
83276,2015-11-13 18:00,1
83277,2015-11-13 19:00,0
83278,2015-11-13 20:00,1
83279,2015-11-13 21:00,1
83280,2015-11-13 22:00,0
83281,2015-11-13 23:00,1
83282,2015-11-14 0:00,2
83283,2015-11-14 1:00,0
83284,2015-11-14 2:00,1
83285,2015-11-14 3:00,3
83286,2015-11-14 4:00,3
83287,2015-11-14 5:00,2
83288,2015-11-14 6:00,1
83289,2015-11-14 7:00,0
83290,2015-11-14 8:00,3
83291,2015-11-14 9:00,4
83292,2015-11-14 10:00,6
83293,2015-11-14 11:00,5
83294,2015-11-14 12:00,5
83295,2015-11-14 13:00,3
83296,2015-11-14 14:00,1
83297,2015-11-14 15:00,2
83298,2015-11-14 16:00,2
83299,2015-11-14 17:00,7
83300,2015-11-14 18:00,10
83301,2015-11-14 19:00,5
83302,2015-11-14 20:00,12
83303,2015-11-14 21:00,7
83304,2015-11-14 22:00,4
83305,2015-11-14 23:00,31
83306,2015-11-15 0:00,5
83307,2015-11-15 1:00,9
83308,2015-11-15 2:00,13
83309,2015-11-15 3:00,14
83310,2015-11-15 4:00,13
83311,2015-11-15 5:00,7
83312,2015-11-15 6:00,7
83313,2015-11-15 7:00,5
83314,2015-11-15 8:00,14
83315,2015-11-15 9:00,10
83316,2015-11-15 10:00,7
83317,2015-11-15 11:00,7
83318,2015-11-15 12:00,12
83319,2015-11-15 13:00,7
83320,2015-11-15 14:00,3
83321,2015-11-15 15:00,3
83322,2015-11-15 16:00,7
